## REPORT METADATA
Start Date,2026-09-18
End Date,2026-09-24
Week Ending,"September 24th, 2026"
Date Range Label,"September 18 – September 24, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,138,7,5.1%,130,94.2%
Show Rate,44.9%,14.3%,,46.9%,
Showed,62,1,1.6%,61,98.4%
Qualified,57,3,5.3%,54,94.7%
Qual Rate,91.9%,300.0%,,88.5%,
Closed Won,13,0,0.0%,13,100.0%
Close Rate (b→c),9.4%,0.0%,,10.0%,
Revenue,"$78,564",$0,0.0%,"$78,564",100.0%
Avg Deal,"$6,043",,,"$6,043",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close,Avg Sales Cycle (Days)
IN-HOUSE,YouTube,,11,11,8% (132),5,45.5%,5,100.0%,,0.0%,$0,,
IN-HOUSE,Website,,4,4,4% (100),1,25.0%,1,100.0%,1,25.0%,"$8,997","$8,997",106.0
IN-HOUSE,Internal Webinar,,34,34,49% (70),19,55.9%,14,73.7%,1,2.9%,"$6,897","$6,897",9.0
IN-HOUSE,WWWS,,1,1,100% (1),1,100.0%,0,0.0%,2,200.0%,"$5,997","$2,998",
IN-HOUSE,Reactivation Scrapers,,75,75,,33,44.0%,32,97.0%,9,12.0%,"$56,673","$6,297",42.9
IN-HOUSE,Google Ads,,5,5,,2,40.0%,2,100.0%,,0.0%,$0,,
EXTERNAL,Instagram,,7,7,2% (300),1,14.3%,3,300.0%,,0.0%,$0,,
UNCATEGORIZED,No Attribution,,1,1,,0,0.0%,0,0.0%,,0.0%,$0,,
TOTAL,TOTAL,,138,,,62,44.9%,57,91.9%,13,9.4%,"$78,564","$6,043",45.5
